구,년도,CCTV수,발생,검거
광진구,2005,0,4897,4279
강북구,2005,0,3429,3187
중랑구,2005,0,4822,4463
강서구,2005,0,5415,4327
강동구,2005,15,3741,4087
구로구,2005,0,5073,3686
양천구,2005,0,3959,3321
송파구,2005,60,4080,2912
노원구,2005,7,3519,3260
도봉구,2005,0,3737,3493
금천구,2005,0,5762,4328
종로구,2006,33,4690,4365
중구,2006,6,4448,4035
성북구,2006,37,3993,3432
은평구,2006,0,4640,3908
관악구,2006,40,5124,3800
서초구,2006,30,4442,3800
강남구,2006,372,7058,5912
서대문구,2006,32,3786,2888
용산구,2006,32,2384,2233
동대문구,2006,25,3889,3752
마포구,2006,30,4107,3111
영등포구,2006,37,4811,4147
성동구,2006,16,3125,2904
동작구,2006,20,3172,2731
광진구,2006,38,4876,3586
강북구,2006,22,3301,3206
중랑구,2006,0,4393,4337
강서구,2006,32,4649,3935
강동구,2006,30,3447,3340
구로구,2006,0,4726,3837
양천구,2006,41,3631,3020
송파구,2006,60,5224,4169
노원구,2006,42,4632,4202
도봉구,2006,10,2734,2361
금천구,2006,36,3565,2990
종로구,2007,53,4538,4307
중구,2007,31,4634,4156
성북구,2007,68,3827,3468
은평구,2007,0,4492,3844
관악구,2007,40,5803,4392
서초구,2007,141,4529,4033
강남구,2007,372,7054,6202
서대문구,2007,32,4237,3067
용산구,2007,52,2563,2341
동대문구,2007,45,4306,4138
마포구,2007,60,4031,3333
영등포구,2007,90,5666,4889
성동구,2007,32,3073,2757
동작구,2007,26,3203,2686
광진구,2007,80,4740,3540
강북구,2007,22,3301,3105
중랑구,2007,0,4382,4257
강서구,2007,32,4820,4000
강동구,2007,40,3749,3865
구로구,2007,32,4843,4190
양천구,2007,41,3545,3110
송파구,2007,88,5963,4862
노원구,2007,52,4831,4539
도봉구,2007,15,2997,2416
금천구,2007,36,3499,2967
종로구,2008,78,4173,3834
중구,2008,64,4569,4160
성북구,2008,78,3906,3453
은평구,2008,44,4354,3672
관악구,2008,40,5334,4095
서초구,2008,141,4067,3616
강남구,2008,414,7662,5930
서대문구,2008,43,4122,3200
용산구,2008,132,2589,2341
동대문구,2008,75,4115,3930
마포구,2008,91,3503,3239
영등포구,2008,90,5290,4670
성동구,2008,32,3400,2797
동작구,2008,32,3346,2681
광진구,2008,158,5308,3646
강북구,2008,33,3337,3232
중랑구,2008,106,4574,4512
강서구,2008,32,4992,4061
강동구,2008,41,4107,4116
구로구,2008,32,4812,4081
양천구,2008,49,3632,2966
송파구,2008,88,5537,4678
노원구,2008,62,4143,3824
도봉구,2008,23,3196,2290
금천구,2008,65,3698,3140
종로구,2009,118,4718,4169
중구,2009,214,4758,4527
성북구,2009,144,4229,3755
은평구,2009,223,4675,4265
관악구,2009,88,5614,4466
서초구,2009,303,4633,3954
강남구,2009,522,9111,6623
서대문구,2009,96,4999,4195
용산구,2009,180,3087,2855
동대문구,2009,149,4470,4274
마포구,2009,123,4048,3640
영등포구,2009,124,5419,4660
성동구,2009,95,3513,3081
동작구,2009,67,3590,2776
광진구,2009,239,4968,3990
강북구,2009,55,3522,3352
중랑구,2009,180,4783,4475
강서구,2009,94,5322,4600
강동구,2009,83,4387,4838
구로구,2009,53,5008,4187
양천구,2009,100,3720,3154
송파구,2009,196,6018,4974
노원구,2009,133,4341,4140
도봉구,2009,51,3082,2620
금천구,2009,104,3733,3351
종로구,2010,203,4733,3791
중구,2010,276,4791,3824
성북구,2010,670,4555,3292
은평구,2010,796,4559,3635
관악구,2010,66,6150,4206
서초구,2010,908,5164,3666
강남구,2010,603,9495,6006
서대문구,2010,225,3951,2941
용산구,2010,649,3323,2574
동대문구,2010,718,4756,3865
마포구,2010,157,4549,3419
영등포구,2010,209,6922,4948
성동구,2010,466,3289,2560
동작구,2010,187,4069,2637
광진구,2010,336,5532,4470
강북구,2010,111,4164,3093
중랑구,2010,293,5588,4394
강서구,2010,180,6219,4450
강동구,2010,199,5030,4052
구로구,2010,220,5446,3955
양천구,2010,157,3899,2691
송파구,2010,290,7423,4353
노원구,2010,212,4368,3646
도봉구,2010,61,2807,2153
금천구,2010,209,3661,2818
종로구,2011,224,4924,3528
중구,2011,284,5090,3325
성북구,2011,574,4414,2913
은평구,2011,904,5146,3422
관악구,2011,196,6954,4169
서초구,2011,952,5178,3323
강남구,2011,652,9954,5753
서대문구,2011,404,4047,2480
용산구,2011,403,4278,2724
동대문구,2011,844,5081,3520
마포구,2011,216,5042,3090
영등포구,2011,287,7123,4439
성동구,2011,536,3234,2020
동작구,2011,258,3930,2223
광진구,2011,385,5604,3641
강북구,2011,183,4416,2988
중랑구,2011,301,5929,4275
강서구,2011,211,6400,3854
강동구,2011,220,5725,3722
구로구,2011,220,5718,3972
양천구,2011,969,4807,2878
송파구,2011,358,8091,4012
노원구,2011,212,4519,3288
도봉구,2011,117,3257,1954
금천구,2011,214,4077,2840
종로구,2012,239,5103,3343
중구,2012,415,5272,3270
성북구,2012,631,4665,2806
은평구,2012,905,5671,3494
관악구,2012,196,6892,3883
서초구,2012,1160,5720,3297
강남구,2012,734,10143,5641
서대문구,2012,583,4372,2691
용산구,2012,430,3989,2674
동대문구,2012,970,5182,3057
마포구,2012,296,6112,3169
영등포구,2012,309,7383,4370
성동구,2012,563,3586,2044
동작구,2012,326,4114,2171
광진구,2012,426,6221,3933
강북구,2012,249,4268,3062
중랑구,2012,320,5878,3823
강서구,2012,243,6138,3699
강동구,2012,245,5609,3279
구로구,2012,372,6129,3431
양천구,2012,1381,4516,2683
송파구,2012,388,7794,3841
노원구,2012,211,5255,3105
도봉구,2012,117,3602,2193
금천구,2012,229,4110,2782
종로구,2013,271,5101,3309
중구,2013,352,5240,3215
성북구,2013,906,4767,2722
은평구,2013,939,5414,3447
관악구,2013,224,7237,3718
서초구,2013,1326,5743,3118
강남구,2013,882,9677,5464
서대문구,2013,802,4287,2665
용산구,2013,399,3881,2427
동대문구,2013,984,4890,2891
마포구,2013,357,5412,3087
영등포구,2013,374,6863,3862
성동구,2013,632,3207,1857
동작구,2013,327,4425,2564
광진구,2013,479,6135,3704
강북구,2013,300,4020,2845
중랑구,2013,551,5168,3407
강서구,2013,330,5976,3604
강동구,2013,262,5534,3234
구로구,2013,454,5665,3180
양천구,2013,1560,4618,2572
송파구,2013,464,7252,3403
노원구,2013,289,5256,3227
도봉구,2013,221,3230,2033
금천구,2013,385,3960,2677
종로구,2014,296,5021,3428
중구,2014,474,5231,3188
성북구,2014,1037,4606,3028
은평구,2014,1125,5431,3325
관악구,2014,928,6781,3701
서초구,2014,1407,5558,3122
강남구,2014,1325,8851,5262
서대문구,2014,836,4194,2588
용산구,2014,1346,3799,2340
동대문구,2014,1040,4363,2882
마포구,2014,375,5740,3136
영등포구,2014,542,7003,4072
성동구,2014,964,3582,2048
동작구,2014,900,3869,2312
광진구,2014,523,6268,3531
강북구,2014,411,4030,2806
중랑구,2014,552,5353,3259
강서구,2014,437,5289,3225
강동구,2014,529,5392,3285
구로구,2014,454,5389,2985
양천구,2014,1560,4642,2654
송파구,2014,515,8004,3982
노원구,2014,421,5312,3300
도봉구,2014,235,3124,1986
금천구,2014,635,3842,2434
